District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Kaabong District,Internal Audit,1482 Internal Audit Services,01  Higher LG Services,148202 Internal Audit,221012 Small Office Equipment,476,0,0,0,0,0
Kaabong District,Internal Audit,1482 Internal Audit Services,01  Higher LG Services,148202 Internal Audit,227001 Travel inland,"8,000",0,"3,000",0,0,"3,000"
Kaabong District,Internal Audit,1281 Local Police and Prisons,01  Higher LG Services,148202 Internal Audit,"221011 Printing, Stationery, Photocopying and ","1,400",0,0,0,0,0
Kaabong District,Internal Audit,1281 Local Police and Prisons,01  Higher LG Services,148202 Internal Audit,221017 Subscriptions,600,0,0,0,0,0
Kaabong District,Internal Audit,1281 Local Police and Prisons,01  Higher LG Services,148202 Internal Audit,227001 Travel inland,"4,217",0,0,0,0,0
Kaabong District,Internal Audit,1281 Local Police and Prisons,01  Higher LG Services,148202 Internal Audit,228002 Maintenance - Vehicles,637,0,0,0,0,0
Kaabong District,Internal Audit,1281 Local Police and Prisons,01  Higher LG Services,148202 Internal Audit,221002 Workshops and Seminars,0,0,"4,545",0,0,"4,545"
Kaabong District,Internal Audit,1281 Local Police and Prisons,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"1,162",0,"1,162"
Kaabong District,Internal Audit,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",708,0,0,0,0,0
Kaabong District,Internal Audit,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,200,0,0,0,0,0
Kaabong District,Internal Audit,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,600,0,0,600
Kaabong District,Internal Audit,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,200,0,0,200
Kaabong District,Internal Audit,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"1,104",0,0,"1,104"
Kaabong District,Internal Audit,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"227004 Fuel, Lubricants and Oils",0,0,500,0,0,500
Kaabong District,Internal Audit,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,0,0,600,0,0,600
Kaabong District,Internal Audit,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,"5,150",0,0,0,0,0
Kaabong District,Internal Audit,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"1,926",0,0,"1,926"
Kaabong District,Internal Audit,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,2,0,0,2
Kaabong District,Internal Audit,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"1,832",0,0,"1,832"
Kaabong District,Internal Audit,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,390,0,0,390
Kaabong District,Internal Audit,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,224001 Medical and Agricultural supplies,"2,000",0,0,0,0,0
Kaabong District,Internal Audit,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,224006 Agricultural Supplies,"15,000",0,0,0,0,0
Kaabong District,Internal Audit,0181 Agricultural Extension Services,03  Capital Purchases,138172 Administrative Capital,312101 Non-Residential Buildings ,"10,000",0,0,0,0,0
Kaabong District,Internal Audit,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312214 Laboratory Equipment,0,0,0,"5,000",0,"5,000"
Kaabong District,Internal Audit,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"22,000",0,"22,000"
Kaabong District,Internal Audit,0182 District Production Services,03  Capital Purchases,018285 Crop marketing facility construction,312101 Non-Residential Buildings ,0,0,0,"2,505",0,"2,505"
Kaabong District,Internal Audit,0781 Pre-Primary and Primary Education,01  Higher LG Services,018285 Crop marketing facility construction,227001 Travel inland,850,0,0,0,0,0
Kaabong District,Internal Audit,0781 Pre-Primary and Primary Education,01  Higher LG Services,018285 Crop marketing facility construction,227001 Travel inland,0,0,350,0,0,350
Kaabong District,Internal Audit,0781 Pre-Primary and Primary Education,01  Higher LG Services,018285 Crop marketing facility construction,282103 Scholarships and related costs,0,0,500,0,0,500
Kaabong District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,312103 Roads and Bridges,0,0,0,"4,247",0,"4,247"
Kaabong District,Education,0981 Rural Water Supply and Sanitation,01  Higher LG Services,048175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"2,000",0,0,0,0,0
Kaabong District,Education,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,368,0,368
Kaabong District,Education,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098183 Borehole drilling and rehabilitation,312104 Other Structures,"2,500",0,0,"2,000",0,"2,000"
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,227001 Travel inland,"5,000",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,227001 Travel inland,"6,000",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,"098310 Land Management Services (Surveying, Valuations, Tittling and lease management) ",229201 Sale of goods purchased for resale,"9,000",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"2,800",0,"2,800"
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"5,500",0,"5,500"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"6,109",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,227001 Travel inland,598,0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,282101 Donations,"8,000",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,221002 Workshops and Seminars,0,0,500,0,0,500
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"4,509",0,"4,509"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"8,000",0,"8,000"
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"1,200",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221008 Computer supplies and Information ,"4,500",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ","1,000",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221012 Small Office Equipment,"1,820",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"223007 Other Utilities- (fuel, gas, firewood, ","1,500",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,800,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"227004 Fuel, Lubricants and Oils",600,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,228001 Maintenance - Civil,"6,500",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,0,0,"4,337",0,0,"4,337"
Kaabong District,Education,1281 Local Police and Prisons,03  Capital Purchases,108175 Non Standard Service Delivery Capital,312211 Office Equipment,"2,000",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"3,720",0,"3,720"
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,"1,500",0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",800,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,400,0,0,400
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"1,000",0,0,"1,000"
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,500,0,0,500
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,500,0,0,500
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,"5,592",0,0,0,0,0
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"5,100",0,0,"5,100"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"3,450",0,0,"3,450"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,500,0,0,500
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,"4,500",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,224006 Agricultural Supplies,"18,005",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,03  Capital Purchases,138172 Administrative Capital,312101 Non-Residential Buildings ,"20,000",0,0,0,0,0
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,170,0,170
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"37,000",0,"37,000"
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018282 Slaughter slab construction,312101 Non-Residential Buildings ,0,0,0,"2,000",0,"2,000"
Kaabong District,Education,0881 Primary Healthcare,01  Higher LG Services,018282 Slaughter slab construction,221002 Workshops and Seminars,"1,700",0,0,0,0,0
Kaabong District,Education,0881 Primary Healthcare,01  Higher LG Services,018282 Slaughter slab construction,221002 Workshops and Seminars,0,0,"1,000",0,0,"1,000"
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,018282 Slaughter slab construction,224006 Agricultural Supplies,"1,250",0,0,0,0,0
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,018282 Slaughter slab construction,227001 Travel inland,500,0,0,0,0,0
Kaabong District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,018282 Slaughter slab construction,227001 Travel inland,0,0,"1,000",0,0,"1,000"
Kaabong District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,312103 Roads and Bridges,0,0,0,"9,000",0,"9,000"
Kaabong District,Education,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"3,545",0,"3,545"
Kaabong District,Education,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098183 Borehole drilling and rehabilitation,312101 Non-Residential Buildings ,"1,400",0,0,0,0,0
Kaabong District,Education,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098183 Borehole drilling and rehabilitation,312104 Other Structures,0,0,0,"1,900",0,"1,900"
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,221002 Workshops and Seminars,"1,321",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,224006 Agricultural Supplies,"9,379",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"5,659",0,"5,659"
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,311101 Land,0,0,0,"1,000",0,"1,000"
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"6,000",0,"6,000"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"7,950",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,282101 Donations,"6,000",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211103 Allowances,0,0,1,0,0,1
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,221002 Workshops and Seminars,0,0,"1,799",0,0,"1,799"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"4,750",0,"4,750"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"3,250",0,"3,250"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"8,000",0,"8,000"
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ",300,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221012 Small Office Equipment,"1,000",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221017 Subscriptions,773,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,"10,728",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"227004 Fuel, Lubricants and Oils",560,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,228001 Maintenance - Civil,620,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"4,096",0,0,"4,096"
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,0,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227002 Travel abroad,0,0,500,0,0,500
Kaabong District,Education,1281 Local Police and Prisons,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ","2,099",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"2,755",0,"2,755"
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,800,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",500,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ","1,200",0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,482,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"227004 Fuel, Lubricants and Oils",368,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,228004 Maintenance ±Other,601,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,219,0,0,219
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"227004 Fuel, Lubricants and Oils",0,0,251,0,0,251
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,500,0,0,500
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,0,0,300,0,0,300
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,42,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),03  Capital Purchases,148172 Administrative Capital,314203 Finished goods,0,0,0,251,0,251
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,"7,584",0,0,0,0,0
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,"4,109",0,0,"4,109"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,"1,964",0,0,"1,964"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,882,0,0,882
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,221002 Workshops and Seminars,"4,320",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,224006 Agricultural Supplies,"25,201",0,0,0,0,0
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312101 Non-Residential Buildings ,0,0,0,"24,551",0,"24,551"
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"24,000",0,"24,000"
Kaabong District,Education,0881 Primary Healthcare,01  Higher LG Services,018275 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"2,800",0,0,0,0,0
Kaabong District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,018275 Non Standard Service Delivery Capital,227001 Travel inland,0,0,599,0,0,599
Kaabong District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,312103 Roads and Bridges,0,0,0,"8,400",0,"8,400"
Kaabong District,Education,0981 Rural Water Supply and Sanitation,01  Higher LG Services,048175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"2,000",0,0,0,0,0
Kaabong District,Education,0981 Rural Water Supply and Sanitation,01  Higher LG Services,048175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"1,000",0,0,0,0,0
Kaabong District,Education,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098183 Borehole drilling and rehabilitation,312104 Other Structures,0,0,0,"4,831",0,"4,831"
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,221002 Workshops and Seminars,"3,500",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,227001 Travel inland,"12,400",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,01  Higher LG Services,098183 Borehole drilling and rehabilitation,211106 Emoluments paid to former Presidents / ,"7,000",0,0,0,0,0
Kaabong District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"6,500",0,"6,500"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"8,000",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,227001 Travel inland,"1,800",0,0,0,0,0
Kaabong District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,"221011 Printing, Stationery, Photocopying and ",0,0,300,0,0,300
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"10,300",0,"10,300"
Kaabong District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,312202 Machinery and Equipment,0,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"211102 Contract Staff Salaries (Incl. Casuals, ",600,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221002 Workshops and Seminars,"2,579",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ",649,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221017 Subscriptions,500,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,"4,517",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"227004 Fuel, Lubricants and Oils","1,000",0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,228002 Maintenance - Vehicles,416,0,0,0,0,0
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,227001 Travel inland,0,0,"3,065",0,0,"3,065"
Kaabong District,Education,1281 Local Police and Prisons,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"227004 Fuel, Lubricants and Oils",0,0,600,0,0,600
Kaabong District,Education,1281 Local Police and Prisons,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"4,135",0,"4,135"
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",400,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ","1,115",0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,150,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,"1,538",0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,900,0,0,900
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,700,0,0,700
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"227004 Fuel, Lubricants and Oils",0,0,"1,000",0,0,"1,000"
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,500,0,0,500
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",400,0,0,0,0,0
Kaabong District,Education,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221014 Bank Charges and other Bank related ,300,0,0,0,0,0
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,"9,431",0,0,0,0,0
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"2,830",0,0,"2,830"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"1,805",0,0,"1,805"
Kaabong District,Education,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"6,380",0,0,"6,380"
Kaabong District,Education,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,224006 Agricultural Supplies,"6,000",0,0,0,0,0
Kaabong District,Education,0181 Agricultural Extension Services,03  Capital Purchases,138172 Administrative Capital,312101 Non-Residential Buildings ,"30,000",0,0,0,0,0
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"10,000",0,"10,000"
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018282 Slaughter slab construction,312101 Non-Residential Buildings ,0,0,0,"14,382",0,"14,382"
Kaabong District,Education,0182 District Production Services,03  Capital Purchases,018285 Crop marketing facility construction,312101 Non-Residential Buildings ,0,0,0,"8,000",0,"8,000"
Kaabong District,Education,0881 Primary Healthcare,01  Higher LG Services,018285 Crop marketing facility construction,221002 Workshops and Seminars,"3,279",0,0,0,0,0
Kaabong District,Education,0881 Primary Healthcare,01  Higher LG Services,018285 Crop marketing facility construction,221002 Workshops and Seminars,0,0,"1,801",0,0,"1,801"
